carrera,legajo,plan,fecha_ingreso,calidad,localidad_nacimiento,colegio_secundario,titulo_secundario
206,4024,S95,25/04/02,A,SAN MARTIN,COLEGIO NACIONAL GENERAL DON TORIBIO DE LUZURIAGA,
206,6525,S95,25/04/02,A,AVELLANEDA,ESC. N.M. GRAL. SAN MARTIN,
206,6333,S95,25/04/02,N,CHASCOMUS,TORIBIO DE LUZURIAGA,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
204,4590,1995,25/04/02,A,LANUS,VICTORINA L. DE NAVARRO,PERITO MERCANTIL
204,427,1995,25/04/02,A,Ciudad Autónoma de Buenos Aires,JUAN PABLO II,BACHILLER EN CIENCIAS NATURALES
206,427,S95,25/04/02,A,Ciudad Autónoma de Buenos Aires,JUAN PABLO II,BACHILLER EN CIENCIAS NATURALES
201,3586,1999,25/04/02,E,,NUESTRA SEÑORA DE LA MERCED,MAESTRO MAYOR DE OBRA
205,3586,1995,25/03/03,A,,NUESTRA SEÑORA DE LA MERCED,MAESTRO MAYOR DE OBRA
211,3586,2004,03/03/06,A,,NUESTRA SEÑORA DE LA MERCED,MAESTRO MAYOR DE OBRA
207,5542,1997,25/04/02,A,Ciudad Autónoma de Buenos Aires,VICTORINA L. DE NAVARRO,MAESTRO MAYOR DE OBRA
206,4719,S95,25/04/02,A,CERES,PROFESOR JAVIER FROILAN FERRERO,
206,260,S95,25/04/02,A,OLAVARRIA,VICTORINA L. DE NAVARRO,BACHILLER
207,2820,1997,25/04/02,P,AZUL,E.P.E.T. Nº1 ING. ROGELIO BOERO,BACHILLER
206,3712,S95,25/04/02,N,CORDOBA,ESCUELA 4-118 SAN JOSE,BACHILLER
206,3425,S95,25/04/02,A,MAR DEL PLATA,ESCUELA DE ENSEÑANZA MEDIA JESUS REDENTOR,BACHILLER CONTABLE
207,4703,1997,25/04/02,N,GENERAL PICO,ESCUELA Nº 4-003 TECNICO INDUSTRIAL EMILIO CIVIT,BACHILLER COMERCIAL
207,6162,1997,25/04/02,N,GENERAL PICO,11 DE SETIEMBRE,PERITO MERCANTIL
207,1475,1997,25/04/02,N,GENERAL PICO,14 DE FEBRERO,BACHILLER FISICO-MATEMATICO
206,6218,S95,25/04/02,A,NECOCHEA,TORIBIO DE LUZURIAGA,BACHILLER EN CIENCIAS EXACTAS Y NATURALES
206,37,S95,25/04/02,A,SIERRA DE LA VENTANA,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO MECANICO
206,4655,S95,26/04/02,E,,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER
206,831,S95,26/04/02,A,ADOLFO GONZALES CHAVES,ESCUELA TECNICA OBRERO ARGENTINO,BACHILLER CON ORIENTACION EN CIENCIAS NATURALES
201,831,2004,01/03/04,E,ADOLFO GONZALES CHAVES,ESCUELA TECNICA OBRERO ARGENTINO,BACHILLER CON ORIENTACION EN CIENCIAS NATURALES
206,3078,S95,26/04/02,A,SAN PEDRO,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,3138,S95,26/04/02,A,OLAVARRIA,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO
206,2797,S95,26/04/02,A,TRES ARROYOS,ESCUELA NORMAL SUPERIOR SARMIENTO,TÉCNICO ELECTROMECANICO
212,2797,2007,04/09/07,A,TRES ARROYOS,ESCUELA NORMAL SUPERIOR SARMIENTO,TÉCNICO ELECTROMECANICO
206,4910,S95,26/04/02,N,OLAVARRIA,COLEGIO SANTO DOMINGO,PERITO COMERCIAL C/OR. EN TÉCNICAS BANC. E IMPOSIT
206,550,S95,26/04/02,E,MAR DEL PLATA,INSTITUTO PERALTA RAMOS,Bachiller Modalidad Economía y Gestión de las Organizaciones
206,593,S95,26/04/02,N,LA PLATA,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,ECONOMÍA Y GESTIÓN DE LAS ORGANIZACIONES
206,5144,S95,26/04/02,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO
206,309,S95,26/04/02,E,Ciudad Autónoma de Buenos Aires,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
206,3141,S95,26/04/02,N,ADOLFO GONZALES CHAVES,ESCUELA NORMAL SUPERIOR SARMIENTO,BACHILLER
206,2395,S95,26/04/02,A,LIBERTADOR GENERAL SAN MARTIN,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO EN COMPUTACION
205,965,2004,26/04/02,E,,ESC.IND. DOMIGO F. SARMIENTO,
201,965,2004,20/02/06,A,,ESC.IND. DOMIGO F. SARMIENTO,
206,965,1995,15/02/08,A,,ESC.IND. DOMIGO F. SARMIENTO,
206,700,S95,26/04/02,A,CORONEL VIDAL,208 PS INSTITUTO SECUNDARIO MALARGUE,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,4295,S95,26/04/02,A,AZUL,EL TRANSITO DE NUESTRA SEÑORA,BACHILLER
206,4022,S95,26/04/02,A,NEUQUEN,21 DE JULIO,TÉCNICO EN ENERGIA
206,6132,S95,26/04/02,A,Ciudad Autónoma de Buenos Aires,MONS. AMERICO ORZALI,TÉCNICO ELECTROMECANICO
206,1660,S95,26/04/02,A,MAR DEL PLATA,24 DE SETIEMBRE Nº45,BACHILLER CONTABLE ESP. EN ADM. Y ORG. ESOCIALES
206,4549,S95,26/04/02,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
206,3788,S95,26/04/02,A,TANDIL, 9 DE JULIO CORDOBA 3271,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,3625,S95,29/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,TÉCNICO EN COMPUTACION
206,4450,S95,29/04/02,A,AZUL,25 DE MAYO,BACHILLER
206,642,S95,29/04/02,A,OLAVARRIA,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO ELECTROMECANICO
206,3609,S95,29/04/02,A,DOLORES,25 DE MAYO,TÉCNICO EN COMPUTACION
212,3609,2007,27/03/13,A,DOLORES,25 DE MAYO,TÉCNICO EN COMPUTACION
204,4098,1995,29/04/02,A,TANDIL,ALFONSINA STORNI,BACHILLER EN CIENCIAS NATURALES
201,4098,2004,14/03/08,A,TANDIL,ALFONSINA STORNI,BACHILLER EN CIENCIAS NATURALES
205,4098,2004,25/02/10,A,TANDIL,ALFONSINA STORNI,BACHILLER EN CIENCIAS NATURALES
206,3615,S95,29/04/02,A,LOBERIA,4 - 107 EJERCITO ARGENTINO,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,3499,S95,29/04/02,A,AZUL,4 039 CRUZ DE PIEDRA,BACHILLER CON ORIENTACION EN COMPUTACION
206,3428,S95,29/04/02,A,TANDIL,ESCUELA NACIONAL DE EDUCACION TECNICA Nº 1 ¨ING. FELIPE SENILLOSA¨,TÉCNICO EN COMPUTACION
213,3428,2014,21/04/15,A,TANDIL,ESCUELA NACIONAL DE EDUCACION TECNICA Nº 1 ¨ING. FELIPE SENILLOSA¨,TÉCNICO EN COMPUTACION
206,410,S95,29/04/02,A,Ciudad Autónoma de Buenos Aires,COLEGIO EL TRANSITO,TÉCNICO EN COMPUTACION
206,3432,S95,29/04/02,A,,SANTA MARIA,TÉCNICO ELECTROMECANICO
212,3432,2007,09/02/10,A,,SANTA MARIA,TÉCNICO ELECTROMECANICO
206,5434,S95,29/04/02,A,TANDIL,ALFONSINA STORNI,BACHILLER EN SALUD AMBIENTAL
206,4677,S95,29/04/02,N,RAUCH,SAN AGUSTIN,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
201,4677,2004,12/03/02,E,RAUCH,SAN AGUSTIN,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
211,4677,2004,22/05/12,A,RAUCH,SAN AGUSTIN,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,1653,S95,29/04/02,A,JUNIN,BACHILLER NACIONAL SAN JUAN,
206,634,S95,29/04/02,A,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,3777,S95,29/04/02,P,TANDIL,ESCUELA TECNICA Nº 2 ING. FELIPE SENILLOSA,TÉCNICO EN COMPUTACION
212,3777,2007,22/04/15,A,TANDIL,ESCUELA TECNICA Nº 2 ING. FELIPE SENILLOSA,TÉCNICO EN COMPUTACION
206,2718,S95,29/04/02,E,ADOLFO GONZALES CHAVES,ESCUELA TECNICA OBRERO ARGENTINO,BACHILLER MODALIDAD EN CIENCIAS NATURALES APLICADAS
206,5380,S95,29/04/02,A,MAR DEL PLATA,EL TRANSITO DE NUESTRA SEÑORA,BACHILLER CON ORIENTACION EN CIENCIAS HUMANAS
206,1699,S95,29/04/02,A,SAN CLEMENTE DEL TUYU,4 106 IV BRIGADA AEREA,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
201,1699,2004,01/03/05,A,SAN CLEMENTE DEL TUYU,4 106 IV BRIGADA AEREA,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,4799,S95,29/04/02,E,MAR DEL PLATA,PROVINCIAL DE RIVADAVIA,BACHILLER
206,6500,S95,29/04/02,A,SAN MIGUEL,MONS. AMERICO ORZALI,TÉCNICO
206,5142,S95,30/04/02,N,LANUS,24 DE SETIEMBRE Nº45,BACHILLER EN CIENCIAS ECONOMICAS
206,4252,S95,30/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,BACHILLER CON ORIENTACION EN INFORM.Y ESP.EN PROGRAM.Y A.DE SISTEM
206,1921,S95,30/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,BACHILLER
206,4773,S95,30/04/02,A,,4 - 107 EJERCITO ARGENTINO,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
207,4773,1997,12/12/02,N,,4 - 107 EJERCITO ARGENTINO,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
204,4773,2003,01/03/04,N,,4 - 107 EJERCITO ARGENTINO,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
209,4773,2006,12/02/07,A,,4 - 107 EJERCITO ARGENTINO,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,361,S95,30/04/02,N,MAR DEL PLATA,4 134 RAQUEL BUTERA,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,1677,S95,30/04/02,A,MAR DEL PLATA,SANTA MARIA,TÉCNICO ELECTROMECANICO
206,3379,S95,30/04/02,A,BALCARCE,GRAL. M. S. BELGRANO,BACHILLER CON ORIENTACION EN ECONOMIA Y ADMINISTRACION
206,5684,S95,30/04/02,A,OLAVARRIA,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO
205,3996,1995,30/04/02,A,,ESCUELA Nº 4-002 FRAY LUIS BELTRAN,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
201,3996,2004,14/02/03,E,,ESCUELA Nº 4-002 FRAY LUIS BELTRAN,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
211,3996,2004,14/03/08,A,,ESCUELA Nº 4-002 FRAY LUIS BELTRAN,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,26,S95,30/04/02,A,LAS FLORES,4-401 JOSE VICENTE ZAPATA,BACHILLER EN ADM. DE EMPRESAS
206,384,S95,30/04/02,A,TANDIL,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER COMERCIAL
